카테고리,task명,반복성(1-5),전략민감도(1-5),스킬희소성(1-5),브랜드의존도(1-5),외주적합도(-8~8),외주적합도_레벨,발주단위설명
브랜드_PR,인플루언서 발굴 및 협업 진행하기,4,4,4,4,0,중간,캠페인별 혹은 월 단위로 외주 에이전시 또는 프리랜서에게 발주
브랜드_PR,SNS 콘텐츠 기획 및 제작하기,3,5,4,5,-3,낮음,"주/월 단위 콘텐츠 패키지 계약, 건당 제작"
브랜드_PR,브랜드 마케팅 캠페인 기획 및 실행하기,2,5,5,5,-3,낮음,캠페인 1회 단위 통합대행 계약 또는 프로젝트 단위 발주
브랜드_PR,자료 기반 성과 분석 및 인사이트 도출하기,5,3,4,3,3,높음,월/분기 단위 분석 리포트 단발성 또는 정기 발주
브랜드_PR,크리에이터와의 협업 콘텐츠 기획 및 제작하기,3,4,4,5,-2,중간,"프로젝트별, 건별 외주 계약 (콘텐츠 단위) "
브랜드_PR,시장 및 트렌드 분석하기,4,3,4,2,3,높음,분기/반기/연단위 리서치 보고서 형태로 외부 전문 기관 발주
브랜드_PR,광고 매체 데이터 관리하기,5,2,3,2,4,높음,월 단위 데이터 수집 및 정리 작업 외주
브랜드_PR,오프라인 이벤트 기획 및 운영하기,2,5,5,5,-3,낮음,이벤트 단위 프로젝트 계약 또는 건별 발주
브랜드_PR,신제품 런칭 및 프로모션 기획하기,2,5,5,5,-3,낮음,신제품 런칭/프로모션별 단위 프로젝트형 계약
브랜드_PR,바이럴 콘텐츠 제작 및 관리하기,4,4,4,5,-1,중간,월 단위 혹은 캠페인 단위로 패키지 계약
브랜드_PR,커뮤니케이션 및 협력 체계 구축하기,2,4,3,4,-3,낮음,프로젝트 단위 컨설팅 또는 운영 프리랜서 파트타임 계약
브랜드_PR,광고 소재 기획 및 퍼포먼스 광고 운영하기,4,5,4,4,-1,중간,월 단위로 광고 집행 에이전시 또는 프리랜서 발주
